date,symbol,marketcapname,sector
2023-11-28,ADANIENSOL,Largecap,Miscellaneous
2023-11-29,HDFCBANK,Largecap,Bank
2023-11-29,GRASIM,Largecap,Textiles
2023-11-29,AMBUJACEM,Largecap,Industrials
2023-11-29,AXISBANK,Largecap,Bank
2023-11-30,GAIL,Largecap,Industrials
2023-11-30,BAJAJFINSV,Largecap,Finance
2023-12-01,ITC,Largecap,FMCG
2023-12-04,SBIN,Largecap,Bank
2023-12-04,KOTAKBANK,Largecap,Bank
2023-12-04,ONGC,Largecap,Oils
2023-12-04,ACC,Largecap,Industrials
2023-12-04,UPL,Largecap,Industrials
2023-12-04,BANKBARODA,Largecap,Bank
2023-12-04,ICICIBANK,Largecap,Bank
2023-12-05,HAVELLS,Largecap,FMCG
2023-12-06,MOTHERSON,Largecap,Auto
2023-12-14,CHOLAFIN,Largecap,Finance
2023-12-15,SBICARD,Largecap,Finance
2023-12-18,BAJFINANCE,Largecap,Finance
2023-12-19,MARICO,Largecap,FMCG
2023-12-28,BHARTIARTL,Largecap,Telecom
2023-12-29,DABUR,Largecap,FMCG
2024-01-02,CIPLA,Largecap,Pharmaceuticals
2024-01-02,DRREDDY,Largecap,Pharmaceuticals
2024-01-02,PAGEIND,Largecap,FMCG
2024-01-04,BAJFINANCE,Largecap,Finance
2024-01-15,LTIM,Largecap,I.T
2024-01-17,ICICIGI,Largecap,Services
2024-01-23,ICICIBANK,Largecap,Bank
2024-01-29,SHREECEM,Largecap,Industrials
2024-02-01,EICHERMOT,Largecap,Auto
2024-02-01,GODREJCP,Largecap,FMCG
2024-02-01,MARUTI,Largecap,Auto
2024-02-02,INDIGO,Largecap,Services
2024-02-05,TATASTEEL,Largecap,Metals
2024-02-05,M&M,Largecap,Auto
2024-02-06,ICICIPRULI,Largecap,Services
2024-02-07,SBIN,Largecap,Bank
2024-02-07,DLF,Largecap,Realty
2024-02-08,HINDALCO,Largecap,Metals
2024-02-09,PIIND,Largecap,Industrials
2024-02-16,HAVELLS,Largecap,FMCG
2024-02-16,SBILIFE,Largecap,Services
2024-02-20,PIDILITIND,Largecap,Industrials
2024-02-20,AWL,Largecap,FMCG
2024-02-21,ABB,Largecap,FMCG
2024-02-21,SRF,Largecap,Industrials
2024-02-22,BEL,Largecap,Aerospace & Defence
