date,symbol,marketcapname,sector
19-04-2024 9:15 am,ONGC,Largecap,Oils
19-04-2024 11:15 am,GRASIM,Largecap,Textiles
19-04-2024 11:45 am,MARUTI,Largecap,Auto
19-04-2024 12:00 pm,BAJFINANCE,Largecap,Finance
19-04-2024 12:00 pm,M&M,Largecap,Auto
19-04-2024 12:00 pm,TATACONSUM,Largecap,FMCG
19-04-2024 12:15 pm,HDFCBANK,Largecap,Bank
19-04-2024 12:30 pm,RELIANCE,Largecap,Industrials
19-04-2024 12:30 pm,HINDUNILVR,Largecap,FMCG
19-04-2024 12:45 pm,ITC,Largecap,FMCG
19-04-2024 12:45 pm,INDUSINDBK,Largecap,Bank
19-04-2024 1:30 pm,WIPRO,Largecap,I.T
19-04-2024 1:30 pm,AXISBANK,Largecap,Bank
19-04-2024 1:45 pm,KOTAKBANK,Largecap,Bank
19-04-2024 1:45 pm,TATASTEEL,Largecap,Metals
19-04-2024 1:45 pm,ASIANPAINT,Largecap,Industrials
19-04-2024 1:45 pm,APOLLOHOSP,Largecap,Pharmaceuticals
19-04-2024 1:45 pm,NIFTY,Smallcap,Indices
19-04-2024 2:00 pm,JSWSTEEL,Largecap,Metals
19-04-2024 2:00 pm,TECHM,Largecap,I.T
19-04-2024 2:00 pm,BAJAJFINSV,Largecap,Finance
19-04-2024 3:00 pm,SBIN,Largecap,Bank
19-04-2024 3:00 pm,ICICIBANK,Largecap,Bank
19-04-2024 3:15 pm,SBILIFE,Largecap,Services
22-04-2024 9:15 am,DRREDDY,Largecap,Pharmaceuticals
22-04-2024 9:15 am,HINDALCO,Largecap,Metals
22-04-2024 9:15 am,LT,Largecap,Realty
22-04-2024 9:15 am,BPCL,Largecap,Industrials
22-04-2024 9:15 am,TATAMOTORS,Largecap,Auto
22-04-2024 9:15 am,EICHERMOT,Largecap,Auto
22-04-2024 9:15 am,SHRIRAMFIN,Largecap,Finance
22-04-2024 9:15 am,SUNPHARMA,Largecap,Pharmaceuticals
22-04-2024 9:15 am,HCLTECH,Largecap,I.T
22-04-2024 9:15 am,ULTRACEMCO,Largecap,Industrials
22-04-2024 9:15 am,ADANIPORTS,Largecap,Industrials
22-04-2024 9:30 am,COALINDIA,Largecap,Industrials
22-04-2024 10:00 am,CIPLA,Largecap,Pharmaceuticals
22-04-2024 10:15 am,BRITANNIA,Largecap,FMCG
22-04-2024 10:15 am,POWERGRID,Largecap,Miscellaneous
22-04-2024 10:30 am,DIVISLAB,Largecap,Pharmaceuticals
22-04-2024 11:15 am,TITAN,Largecap,Miscellaneous
22-04-2024 12:15 pm,HEROMOTOCO,Largecap,Auto
22-04-2024 1:00 pm,INFY,Largecap,I.T
22-04-2024 2:00 pm,NESTLEIND,Largecap,FMCG
22-04-2024 3:00 pm,TCS,Largecap,I.T
22-04-2024 3:00 pm,LTIM,Largecap,I.T
22-04-2024 3:15 pm,ADANIENT,Largecap,Services
